ID,ACRONYM,NAME
"299","coegindiri","College Of Education, Gindiri"
"300","coehong","College Of Education, Hong"
"301","coeigueben","College Of Education, Igueben"
"302","coeikere","College Of Education, Ikere"
"303","coeilemona","College Of Education, Ilemona"
"304","coeilesa","College Of Education, Ilesha"
"305","coeilorin","College Of Education, Ilorin"
"306","coejalingo","College Of Education, Jalingo"
"307","coekatsina","College Of Education, Katsina-ala"
"308","coedlfg","College Of Education, Lafiagi"
"309","coemaru","College Of Education, Maru"
"310","coeminna","College Of Education, Minna"
"311","coemoro","College Of Education, Moro-ife"
"312","coeoju","College Of Education, Oju"
"313","coeoro","College Of Education, Oro"
"314","coeport","College Of Education, Port Harcourt"
"315","coewaka","College Of Education, Waka-biu"
"316","coewarri","College Of Education, Warri"
"317","cornerstone","Cornerstone College Of Education, Lagos"
"318","crscoed","Cross River State College Of Education"
"319","delarcoed","Delar College Of Education"
"320","dscope","Delta State College Of Physical Education"
"321","ebecoed","Ebenezer College Of Education"
"322","ebscoed","Ebonyi State College Of Education"
"323","elderoyama","Elder Oyama Memorial College Of Education"
"324","eacoedoyo","Emmanuel Alyande College Of Education"
"325","escet","Enugu State College Of Education, Technical"
"326","fctcoezuba","FCT College Of Education, Zuba"
"327","fceoyo","Federal College Of Education"
"328","fcetbichi","Federal College Of Education"
"329","fcetakoka","Federal College Of Education"
"330","fcegusau","Federal College Of Education"
"331","fcetomoku","Federal College Of Education"
"332","fceabeokuta","Federal College Of Education Abeokuta"
"333","fceasaba","Federal College Of Education Asaba"
"334","fcekatsina","Federal College Of Education Katsina"
"335","fcekg","Federal College Of Education Kontagora"
"336","fceobudu","Federal College Of Education Obudu"
"337","fceokene","Federal College Of Education Okene"
"338","fceumunze","Federal College Of Education Umunze"
"339","fceyola","Federal College Of Education Yola"
"340","fcezaria","Federal College Of Education Zaria"
"341","fceahaamufu","Federal College Of Education, Eha-amufu"
"342","fcegombe","Federal College Of Education, Gombe"
"343","fcekano","Federal College Of Education, Kano"
"344","fcepankshin","Federal College of Education, Pankshin"
"345","fcepotiskum","Federal College Of Education, Potiskum"
"346","hwcoed","Havard Wilson College Of Education, Aba"
"347","hillcoed","Hill College Of Education"
"348","iaisolodo","Institute Of Arabic And Islamic Studies, Olodo"
"349","ikcoed","Isa Kaita College Of Education"
"350","jnicoed","Jama&amp;#039;atu Nasir Islam College Of Education, Kaduna"
"351","jcaie","Jibwis College Of Arabic And Islamic Education, Gombe"
"352","jigcoed","Jigawa State College Of Education, Gumel"
"353","kanocoek","Kano State College Of Education, Kambotso"
"354","kicoem","Kashim-ibrahim College Of Education, Maiduguri"
"355","kscoed","Kebbi State College Of Education, Argungu"
"356","kinseycoed","Kinsey College Of Education, Ilorin"
"357","kcoeo","Kwararafa College Of Education, Otukpo"
